item,itemLabel,Main_genre,,,,Main genres
http://www.wikidata.org/entity/Q209498,2 Tone,Punk,,,,Blues
http://www.wikidata.org/entity/Q1751409,2-step garage,Electronic,,,,Classical
http://www.wikidata.org/entity/Q4631020,21st-century classical music,Classical,,,,Country
http://www.wikidata.org/entity/Q4637208,4-beat,Electronic,,,,Electronic
http://www.wikidata.org/entity/Q185298,a cappella,Classical,,,,Folk
http://www.wikidata.org/entity/Q3408409,ÄŒalgija,Others,,,,Heavy Metal
http://www.wikidata.org/entity/Q3631657,aá¹£Ã­kÃ²,Others,,,,Hip Hop
http://www.wikidata.org/entity/Q4666464,Abecedarian hymn,Classical,,,,Jazz
http://www.wikidata.org/entity/Q12224286,Abidat Rma,Others,,,,Latin
http://www.wikidata.org/entity/Q4668383,Aboriginal rock,Rock,,,,Others
http://www.wikidata.org/entity/Q4670712,Abwe,Others,,,,Pop
http://www.wikidata.org/entity/Q341364,acid house,Electronic,,,,Punk
http://www.wikidata.org/entity/Q221772,acid jazz,Electronic,,,,R&B
http://www.wikidata.org/entity/Q236932,acid rock,Rock,,,,Rock
http://www.wikidata.org/entity/Q341395,acid techno,Electronic,,,,
http://www.wikidata.org/entity/Q481900,acid trance,Electronic,,,,
http://www.wikidata.org/entity/Q341396,acidcore,Electronic,,,,
http://www.wikidata.org/entity/Q286080,acoustic music,Others,,,,
http://www.wikidata.org/entity/Q378988,adult contemporary music,Pop,,,,
http://www.wikidata.org/entity/Q2510800,Adult hits,Others,,,,
http://www.wikidata.org/entity/Q384064,African Gospel,Others,,,,
http://www.wikidata.org/entity/Q4690039,African reggae,Others,,,,
http://www.wikidata.org/entity/Q388207,African-American music,Others,,,,
http://www.wikidata.org/entity/Q25099840,Afro pop music,Pop,,,,
http://www.wikidata.org/entity/Q26234147,afro trap,Others,,,,
http://www.wikidata.org/entity/Q3163340,Afro-Cuban jazz,Jazz,,,,
http://www.wikidata.org/entity/Q11956983,Afro-jazz,Jazz,,,,
http://www.wikidata.org/entity/Q16993565,Afro-Peruvian music,Others,,,,
http://www.wikidata.org/entity/Q16024685,Afro-soul,Others,,,,
http://www.wikidata.org/entity/Q336567,Afro/Cosmic music,Others,,,,
http://www.wikidata.org/entity/Q388296,afrobeat,Others,,,,
http://www.wikidata.org/entity/Q53806314,Ã‰ntekhno,Electronic,,,,
http://www.wikidata.org/entity/Q1091450,aggrotech,Electronic,,,,
http://www.wikidata.org/entity/Q1406136,Ahellil,Others,,,,
http://www.wikidata.org/entity/Q4699758,Ajisari,Others,,,,
http://www.wikidata.org/entity/Q10846275,Akiba-pop,Pop,,,,
http://www.wikidata.org/entity/Q2610186,Al Jeel,Others,,,,
http://www.wikidata.org/entity/Q16357920,Albanian hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q5662534,albazo,Latin,,,,
http://www.wikidata.org/entity/Q623715,aleatoric music,Others,,,,
http://www.wikidata.org/entity/Q2961766,Algerian chaabi,Others,,,,
http://www.wikidata.org/entity/Q3135790,Algerian hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q16002495,Algorave,Electronic,,,,
http://www.wikidata.org/entity/Q16208174,Alkayida,Others,,,,
http://www.wikidata.org/entity/Q252833,alpine folk music,Folk,,,,
http://www.wikidata.org/entity/Q1695023,alternative,Electronic,,,,
http://www.wikidata.org/entity/Q438476,alternative country,Country,,,,
http://www.wikidata.org/entity/Q2187392,alternative dance,Electronic,,,,
http://www.wikidata.org/entity/Q438503,alternative hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q20378,alternative metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q17231698,alternative music,Electronic,,,,
http://www.wikidata.org/entity/Q7118426,alternative R&B,R&B,,,,
http://www.wikidata.org/entity/Q4736555,Alternative reggaeton,Latin,,,,
http://www.wikidata.org/entity/Q11366,alternative rock,Rock,,,,
http://www.wikidata.org/entity/Q8197165,ambient black metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q3613770,ambient dub,Electronic,,,,
http://www.wikidata.org/entity/Q2465085,ambient house,Electronic,,,,
http://www.wikidata.org/entity/Q2842043,ambient jungle,Electronic,,,,
http://www.wikidata.org/entity/Q193207,ambient music,Pop,,,,
http://www.wikidata.org/entity/Q33160145,ambient pop,Pop,,,,
http://www.wikidata.org/entity/Q9149801,ambient techno,Electronic,,,,
http://www.wikidata.org/entity/Q4993553,ambient trance,Electronic,,,,
http://www.wikidata.org/entity/Q1541229,American folk music,Folk,,,,
http://www.wikidata.org/entity/Q16820420,American march music,Classical,,,,
http://www.wikidata.org/entity/Q466445,American primitive guitar,Others,,,,
http://www.wikidata.org/entity/Q2407862,Americana,Folk,,,,
http://www.wikidata.org/entity/Q486365,anarcho-punk,Punk,,,,
http://www.wikidata.org/entity/Q483740,Anatolian rock,Rock,,,,
http://www.wikidata.org/entity/Q2897103,Andalusi nubah,Others,,,,
http://www.wikidata.org/entity/Q623904,Andalusian classical music,Classical,,,,
http://www.wikidata.org/entity/Q15042720,Andalusian copla,Latin,,,,
http://www.wikidata.org/entity/Q492096,Andean music,Latin,,,,
http://www.wikidata.org/entity/Q2849807,angura kei,Others,,,,
http://www.wikidata.org/entity/Q608862,anison,Others,,,,
